sample_name,total_curvature,curvature_ratio,final_strain,final_stress,class
uniax_tension_mooneyrivlin_dp11,3.6859130515300977,0.00111465860944789,10.2365,6.9704,mr
uniax_tension_mooneyrivlin_dp12,1.330385911754513,0.0026920327597500524,16.0289,6.66345,mr
uniax_tension_mooneyrivlin_dp13,1.1271203650600599,0.0002056058417969929,19.5106,6.81143,mr
uniax_tension_mooneyrivlin_dp14,3.233826929617892,0.0005949158685406432,11.3885,6.98474,mr
uniax_tension_mooneyrivlin_dp15,4.343633966953619,0.0,8.2445,6.83536,mr
uniax_tension_mooneyrivlin_dp16,4.445833015589061,0.0,8.74807,6.9536,mr
uniax_tension_mooneyrivlin_dp17,3.384710628452655,0.0,9.70865,6.79185,mr
uniax_tension_mooneyrivlin_dp18,1.453830684069505,0.0,15.962,6.72732,mr
uniax_tension_mooneyrivlin_dp19,1.4312782634258545,0.0006265778678350701,16.2943,6.74496,mr
uniax_tension_mooneyrivlin_dp2,1.2621009812147164,0.0,16.9838,6.6994,mr
uniax_tension_mooneyrivlin_dp20,3.3791954395789157,0.001420205497486959,10.5701,6.92077,mr
uniax_tension_mooneyrivlin_dp21,1.3702483594252806,0.0,17.0877,6.77644,mr
uniax_tension_mooneyrivlin_dp22,1.238611775111258,0.001395569745757471,16.936,6.68177,mr
uniax_tension_mooneyrivlin_dp23,1.5057330924184802,5.703364438475312e-05,16.2785,6.78651,mr
uniax_tension_mooneyrivlin_dp24,3.307767085518403,0.0007673708066450665,10.7259,6.91911,mr
uniax_tension_mooneyrivlin_dp25,2.2946638134527464,0.0003087969694466245,12.5169,6.77721,mr
uniax_tension_mooneyrivlin_dp26,1.6917572286340068,0.0,15.1137,6.77739,mr
uniax_tension_mooneyrivlin_dp27,1.1290573706795295,0.0,19.0116,6.77162,mr
uniax_tension_mooneyrivlin_dp28,1.5014990976632605,0.0012227217148567241,17.0471,6.85702,mr
uniax_tension_mooneyrivlin_dp29,4.424321420814552,0.0,9.27395,7.03842,mr
uniax_tension_mooneyrivlin_dp3,2.168662162609468,0.0,13.5061,6.83869,mr
uniax_tension_mooneyrivlin_dp30,1.0230693161034172,0.0,20.0013,6.76586,mr
uniax_tension_mooneyrivlin_dp31,3.9292686881571344,1.4514932445809854e-05,10.3629,7.06328,mr
uniax_tension_mooneyrivlin_dp32,1.1692155312438872,7.653421518168803e-05,17.4318,6.67479,mr
uniax_tension_mooneyrivlin_dp33,1.1957239565385187,0.00024831022890416696,16.8125,6.64412,mr
uniax_tension_mooneyrivlin_dp34,3.6869609772467054,0.0,10.4043,6.99416,mr
uniax_tension_mooneyrivlin_dp35,3.526410506429518,0.0006856535666264176,10.5484,6.96552,mr
uniax_tension_mooneyrivlin_dp36,3.3855360457226458,0.0,9.68369,6.7879,mr
uniax_tension_mooneyrivlin_dp37,1.3903434380368689,0.0,16.7817,6.7624,mr
uniax_tension_mooneyrivlin_dp38,1.3496278827072872,0.0,17.3933,6.79004,mr
uniax_tension_mooneyrivlin_dp39,1.658705163840336,0.00010019367105822699,16.2357,6.87141,mr
uniax_tension_mooneyrivlin_dp4,1.0714712318760191,0.0010359906993270846,18.2648,6.67272,mr
uniax_tension_mooneyrivlin_dp40,1.8102212071838604,1.2081055105684627e-05,15.1865,6.84789,mr
uniax_tension_mooneyrivlin_dp41,0.16596301413808145,0.0,45.5796,6.58404,mr
uniax_tension_mooneyrivlin_dp42,0.6141850939805867,0.0,26.4907,6.77316,mr
uniax_tension_mooneyrivlin_dp43,0.13437008514568122,0.00022194951538023186,58.6691,6.79067,mr
uniax_tension_mooneyrivlin_dp44,0.09404158584412409,0.0,61.0162,6.58919,mr
uniax_tension_mooneyrivlin_dp45,0.3263822503134166,0.0,32.8763,6.60882,mr
uniax_tension_mooneyrivlin_dp46,0.8205515622638834,0.0,26.1844,6.99891,mr
uniax_tension_mooneyrivlin_dp47,3.4262724857872455,0.0004079415631226382,11.5136,7.06823,mr
uniax_tension_mooneyrivlin_dp48,0.16637266519235597,0.0,52.0722,6.77329,mr
uniax_tension_mooneyrivlin_dp49,0.8049785464903072,0.0003001618120630558,27.2203,7.04503,mr
uniax_tension_mooneyrivlin_dp5,1.5060196495934655,2.6239587939579015e-05,16.4779,6.80521,mr
uniax_tension_mooneyrivlin_dp50,0.11053083638631625,0.0,55.26,6.56778,mr
uniax_tension_mooneyrivlin_dp51,0.1146636471425371,0.0,63.0766,6.77804,mr
uniax_tension_mooneyrivlin_dp52,0.4572185837266066,0.0,29.5189,6.7021,mr
uniax_tension_mooneyrivlin_dp53,0.0841146482329077,0.0,67.8167,6.65399,mr
uniax_tension_mooneyrivlin_dp54,1.9117260125367168,0.00015501639885881981,14.3729,6.81283,mr
uniax_tension_mooneyrivlin_dp55,0.10536482353290992,0.0,64.3732,6.7436,mr
uniax_tension_mooneyrivlin_dp56,0.11465349617779745,0.0,63.4265,6.78655,mr
uniax_tension_mooneyrivlin_dp57,0.22598123568082207,0.0,50.1253,6.95979,mr
uniax_tension_mooneyrivlin_dp58,0.39122060436563616,0.0,36.1741,6.89053,mr
uniax_tension_mooneyrivlin_dp59,0.1093757006444807,0.0,63.4798,6.75096,mr
uniax_tension_mooneyrivlin_dp6,1.6568821419300725,0.001162910543316281,14.9179,6.74175,mr
uniax_tension_mooneyrivlin_dp60,0.1020941250724714,0.0,64.9843,6.73329,mr
uniax_tension_mooneyrivlin_dp61,0.14125489538004243,0.0,49.6147,6.58801,mr
uniax_tension_mooneyrivlin_dp62,0.7791256232796543,0.00024050511958482903,24.4886,6.84977,mr
uniax_tension_mooneyrivlin_dp63,2.1097458467232824,0.00024577966260815596,15.0727,6.9852,mr
uniax_tension_mooneyrivlin_dp64,1.796237680536289,0.0,16.7405,6.9931,mr
uniax_tension_mooneyrivlin_dp65,0.17203745328906697,0.0,49.2489,6.71445,mr
uniax_tension_mooneyrivlin_dp66,0.40317376121612747,0.0,31.9532,6.72159,mr
uniax_tension_mooneyrivlin_dp67,0.6223160260386696,0.0,33.6656,7.15683,mr
uniax_tension_mooneyrivlin_dp68,0.16637227945557734,0.0,52.7967,6.79455,mr
uniax_tension_mooneyrivlin_dp69,1.0594527755302403,0.0,25.7523,7.1884,mr
uniax_tension_mooneyrivlin_dp7,1.230201001159088,0.0001529213867677016,18.1526,6.77617,mr
uniax_tension_mooneyrivlin_dp70,1.132120365403533,0.0,21.6731,6.98119,mr
uniax_tension_mooneyrivlin_dp71,0.08005411737317414,0.0,73.1295,6.7267,mr
uniax_tension_mooneyrivlin_dp72,0.213296600050398,0.0,48.2726,6.85279,mr
uniax_tension_mooneyrivlin_dp73,0.10635906259473478,0.0,66.0424,6.79025,mr
uniax_tension_mooneyrivlin_dp74,0.7729413088464665,0.00015090771725179548,21.5733,6.65411,mr
uniax_tension_mooneyrivlin_dp75,0.5104639876749885,0.0,29.3432,6.77906,mr
uniax_tension_mooneyrivlin_dp76,0.8268853161582015,0.0008625022882632499,30.3725,7.23081,mr
uniax_tension_mooneyrivlin_dp77,0.09865684366476515,0.0,62.7657,6.65812,mr
uniax_tension_mooneyrivlin_dp78,0.16348455368898185,0.0,50.7774,6.72086,mr
uniax_tension_mooneyrivlin_dp79,0.0915540037506793,0.0,66.746,6.692,mr
uniax_tension_mooneyrivlin_dp8,1.0946697238664063,0.0012300821396884437,19.2228,6.76418,mr
uniax_tension_mooneyrivlin_dp80,0.6486002973809903,0.00020570801365018494,26.1119,6.79586,mr
uniax_tension_mooneyrivlin_dp81,0.21056481477945205,0.0,43.7776,6.6921,mr
uniax_tension_mooneyrivlin_dp82,0.1967629829891397,0.0,52.1983,6.91174,mr
uniax_tension_mooneyrivlin_dp83,0.3602303198917115,0.0,33.7757,6.71738,mr
uniax_tension_mooneyrivlin_dp84,0.07859453209130493,0.0,72.155,6.69337,mr
uniax_tension_mooneyrivlin_dp85,1.944382864115421,5.662833246727201e-05,13.6674,6.75221,mr
uniax_tension_mooneyrivlin_dp86,1.6267803616063086,0.0,20.9275,7.24255,mr
uniax_tension_mooneyrivlin_dp87,0.11839112638112742,0.0,59.0377,6.7021,mr
uniax_tension_mooneyrivlin_dp88,2.370583008738298,0.0001414879875887861,15.7168,7.16301,mr
uniax_tension_mooneyrivlin_dp89,0.07894916727802745,0.0,72.2535,6.69861,mr
uniax_tension_mooneyrivlin_dp9,3.375093667053326,0.002945225042759526,10.5458,6.91733,mr
uniax_tension_mooneyrivlin_dp90,0.08272901535182434,0.0,74.573,6.78206,mr
uniax_tension_mooneyrivlin_dp91,1.3748677136268277,0.0,9.12188,2.26877,mr
uniax_tension_mooneyrivlin_dp92,0.15278497753735656,0.00016968268130026744,53.9565,6.76191,mr
uniax_tension_mooneyrivlin_dp93,0.6316126379430504,0.0,30.5492,7.02144,mr
uniax_tension_mooneyrivlin_dp94,1.6266966260654432,0.00010149839130174956,19.0817,7.10616,mr
uniax_tension_mooneyrivlin_dp95,0.2931690599151846,0.0002180539328358288,45.0243,7.00169,mr
uniax_tension_mooneyrivlin_dp96,0.09846857271328215,0.0,62.1752,6.64335,mr
uniax_tension_mooneyrivlin_dp97,0.2535298027203372,0.0,39.1588,6.66946,mr
uniax_tension_mooneyrivlin_dp98,0.09221620151339054,0.0,71.2987,6.79738,mr
uniax_tension_mooneyrivlin_dp99,0.5453988054154955,0.00011395189210527387,32.4011,6.99209,mr
uniax_tension_ogden_dp0,-0.22725928678464158,0.6951504811319076,38.8138,5.66681,og
uniax_tension_ogden_dp1,-0.17196293016896763,0.5463538371024097,90.4783,3.14935,og
uniax_tension_ogden_dp10,-0.3390632114957349,0.0,55.0711,1.85837,og
uniax_tension_ogden_dp100,-0.012943635906164937,0.0,324.829,2.29668,og
uniax_tension_ogden_dp101,-0.01787607253737841,0.0,154.658,2.31975,og
uniax_tension_ogden_dp102,-0.010639077654393458,0.0,638.199,2.27652,og
uniax_tension_ogden_dp103,-0.03329421822803171,0.11331099885950084,276.366,3.1763,og
uniax_tension_ogden_dp104,-0.12836411136753734,0.0,253.208,2.27864,og
uniax_tension_ogden_dp105,-0.05763627648514331,0.02161725344174883,63703.8,4.28309,og
uniax_tension_ogden_dp106,-0.10691060739747554,0.048301022937130074,87.8856,2.29304,og
uniax_tension_ogden_dp107,-0.04052340246048921,0.0,20376.2,4.32946,og
uniax_tension_ogden_dp108,-0.5021347765138393,0.29296845348520684,120.976,5.47715,og
uniax_tension_ogden_dp109,2.0020400900673367,0.0,18.3283,6.94668,og
uniax_tension_ogden_dp11,-0.07558391154223836,0.0,957.907,5.38608,og
uniax_tension_ogden_dp110,-0.012680421204059636,0.9121405651484084,54.3025,6.02275,og
uniax_tension_ogden_dp111,-0.18522391063683302,0.09826271362360058,61.72,4.25453,og
uniax_tension_ogden_dp112,-0.047443923276050556,0.0,6744.2,3.06958,og
uniax_tension_ogden_dp113,-0.026350704961916088,0.0,20272.9,5.20898,og
uniax_tension_ogden_dp114,-0.11516858687950529,0.0,17102.8,5.20125,og
uniax_tension_ogden_dp115,-0.035670882603313754,0.030428785996293898,12986.0,3.90866,og
uniax_tension_ogden_dp116,1.7597306725792956,0.019533380706611425,18.5388,7.22931,og
uniax_tension_ogden_dp117,-0.02234873845478299,0.05142848095259834,20035.1,5.18529,og
uniax_tension_ogden_dp118,-0.035244093318661934,0.0,1084.13,2.67252,og
uniax_tension_ogden_dp119,-0.0951954801989362,0.1471192112035911,806.5,5.38412,og
uniax_tension_ogden_dp12,-0.015690415278361017,0.29624892586235313,334.401,5.62028,og
uniax_tension_ogden_dp120,-0.7669703774649219,0.008403365350819786,1053.03,5.2811,og
uniax_tension_ogden_dp121,-0.046710199152594084,0.0,59.2908,1.88134,og
uniax_tension_ogden_dp122,-0.042034428768333576,0.020921138677923168,7648.29,4.7835,og
uniax_tension_ogden_dp123,-0.10924540443690284,0.3089628838348572,164.648,5.52095,og
uniax_tension_ogden_dp124,-0.04649679158823484,0.43176603459111934,139.991,5.62573,og
uniax_tension_ogden_dp125,-0.009362876765590868,0.7660471601609472,100.571,5.96401,og
uniax_tension_ogden_dp126,-0.033385647119781994,0.0459573691251598,4754.12,3.50168,og
uniax_tension_ogden_dp127,-0.02173504604681631,0.13036017134829853,209.761,3.69414,og
uniax_tension_ogden_dp128,-0.04323991660327128,0.0,119.009,1.86444,og
uniax_tension_ogden_dp129,-0.1262792306877679,0.0,19802.8,3.9078,og
uniax_tension_ogden_dp13,-0.031865420683390086,0.07711099645175955,616.575,4.48489,og
uniax_tension_ogden_dp130,-0.04236402641452354,0.0,227.319,2.73243,og
uniax_tension_ogden_dp131,-0.057682419792802066,0.0,173.798,1.85446,og
uniax_tension_ogden_dp132,-0.1684055042026216,0.0,8.81404,1.45713,og
uniax_tension_ogden_dp133,-0.16309550364168676,0.0,596.29,3.1314,og
uniax_tension_ogden_dp134,-0.011096932128955916,0.8474150474875797,89.2925,5.94179,og
uniax_tension_ogden_dp135,-0.13508748070028537,0.7346488631740263,36.856,5.87301,og
uniax_tension_ogden_dp136,-1.0278739789214644,0.1400348831084151,119.22,4.01546,og
uniax_tension_ogden_dp137,-0.08459513607031688,0.0,449.422,2.26469,og
uniax_tension_ogden_dp138,-0.026314493754680077,0.5170578554794966,249.817,5.56428,og
uniax_tension_ogden_dp139,-0.2130138235832862,0.0,8668.73,3.93644,og
uniax_tension_ogden_dp14,-0.05383324036909472,0.11154992057193919,3346.4,5.26088,og
uniax_tension_ogden_dp140,-0.08905927508534797,0.0,40.2518,1.88434,og
uniax_tension_ogden_dp141,-0.02106596164397581,0.005179817837951623,4085.49,5.29915,og
uniax_tension_ogden_dp142,1.4651330018389428,0.00022644224193568127,20.0061,7.01074,og
uniax_tension_ogden_dp143,-0.03816232183730215,0.06208389368700241,9879.0,5.20372,og
uniax_tension_ogden_dp144,-0.3882426233961816,0.0,70.7377,1.86052,og
uniax_tension_ogden_dp145,-0.06628597835931435,0.1094650660914873,439.172,2.68697,og
uniax_tension_ogden_dp146,-0.15192395878371534,0.5920778469469141,66.3972,3.57921,og
uniax_tension_ogden_dp147,-0.19134288885362571,0.0,36.5107,2.84328,og
uniax_tension_ogden_dp148,-0.0716341925090731,0.0,327.253,2.73234,og
uniax_tension_ogden_dp149,-0.06270455807334578,0.5178854622516746,267.429,5.42369,og
uniax_tension_ogden_dp15,0.1365854115306524,0.7178090827537057,25.0477,6.21267,og
uniax_tension_ogden_dp150,-0.4336385958175567,0.0,15482.3,4.73084,og
uniax_tension_ogden_dp151,-0.04445971141046293,0.36290956774803634,139.304,5.17781,og
uniax_tension_ogden_dp152,-0.922186413165387,0.0,691.793,5.43196,og
uniax_tension_ogden_dp153,-0.0451817390476669,0.8042702358256758,52.5205,5.89154,og
uniax_tension_ogden_dp154,-0.14475699705837902,0.0,79.4696,2.76882,og
uniax_tension_ogden_dp155,-1.491950135787414,0.22375937549971942,46.2243,5.63559,og
uniax_tension_ogden_dp156,0.252646336399246,0.3534554730780228,29.7392,6.52219,og
uniax_tension_ogden_dp157,-0.2998286840265236,0.0,5075.04,3.06699,og
uniax_tension_ogden_dp158,-1.303723899329714,0.4827013615628327,117.092,3.92213,og
uniax_tension_ogden_dp159,-0.5559977251618146,0.0,1244.43,4.37228,og
uniax_tension_ogden_dp16,-0.12931681241021897,0.5407407894223663,126.601,5.56796,og
uniax_tension_ogden_dp160,-0.04311423055906269,0.09938299569373012,1514.96,5.36424,og
uniax_tension_ogden_dp161,-0.031661062706152814,0.03702701932478475,124.869,3.26904,og
uniax_tension_ogden_dp162,-0.8471543235984074,0.0,19.2808,1.881,og
uniax_tension_ogden_dp163,-0.01936139803748146,0.004561365581480212,90.6904,2.34772,og
uniax_tension_ogden_dp164,-0.030109225512871027,0.232923943807409,405.71,3.13858,og
uniax_tension_ogden_dp165,-0.4073522371244163,0.0,244.855,5.55393,og
uniax_tension_ogden_dp166,0.04736345617386043,0.7164664791920047,46.4302,6.27524,og
uniax_tension_ogden_dp167,-0.015400408204760364,0.0,145.591,1.86594,og
uniax_tension_ogden_dp168,0.32548715850656107,0.13381594473980105,28.1008,6.49771,og
uniax_tension_ogden_dp169,-0.07636361899031624,0.046358461335431915,94.5745,2.75456,og
uniax_tension_ogden_dp17,-0.015188382920740717,0.0,359676.0,4.69723,og
uniax_tension_ogden_dp170,-0.513563092022592,0.0,111.874,2.27247,og
uniax_tension_ogden_dp171,-0.03218371163972048,0.33212178120180563,328.151,5.53501,og
uniax_tension_ogden_dp172,-0.3470309090810314,0.1117745995469325,664.656,5.36973,og
uniax_tension_ogden_dp173,-0.017930262389258975,0.0,1028.49,2.26034,og
uniax_tension_ogden_dp174,-0.013602591298085548,0.13802402942529782,2240.3,5.36699,og
uniax_tension_ogden_dp175,-0.055460889073442515,0.03865364052456313,1429.62,3.52679,og
uniax_tension_ogden_dp176,-0.027482675524431944,0.37566394241666945,259.163,5.63,og
uniax_tension_ogden_dp177,-0.08554712065029779,0.0,36.7966,1.89572,og
uniax_tension_ogden_dp178,-0.022743861166621897,0.0,379.521,2.27861,og
uniax_tension_ogden_dp179,-0.036887788621846274,0.0,1366.63,4.02894,og
uniax_tension_ogden_dp18,-0.05949684140982427,0.4971649634761333,145.537,5.53066,og
uniax_tension_ogden_dp180,0.06135957467921264,0.5099375044299322,52.2074,6.41914,og
uniax_tension_ogden_dp181,-0.049316546405162705,0.2838552324901915,661.359,5.29055,og
uniax_tension_ogden_dp182,-0.19237313020714325,0.0,17.7141,1.92244,og
uniax_tension_ogden_dp183,-0.44563861980215547,0.0,49.8078,1.85859,og
uniax_tension_ogden_dp184,-0.07603364827868384,0.0,6184.24,3.07923,og
uniax_tension_ogden_dp185,-0.06211462026201603,0.12264594466527802,1408.4,5.29904,og
uniax_tension_ogden_dp186,-0.09334771609030418,0.0228001790870234,1312.81,2.66292,og
uniax_tension_ogden_dp187,-8.526469552639961,0.0,3624.65,3.48479,og
uniax_tension_ogden_dp188,-0.07589683225877822,0.0,527.004,2.68879,og
uniax_tension_ogden_dp189,-0.03414984950780815,0.6043236469869303,127.219,5.73432,og
uniax_tension_ogden_dp19,0.2782532878191529,0.4408394119809732,28.2157,6.5983,og
uniax_tension_ogden_dp190,-0.009662079401111419,0.0,797.191,2.27394,og
uniax_tension_ogden_dp191,-0.05921922774049742,0.0,15761.8,5.22454,og
uniax_tension_ogden_dp192,-1.141757678758783,0.0,3.38249,1.45522,og
uniax_tension_ogden_dp193,-15.60662359387335,0.0,1315.22,3.09324,og
uniax_tension_ogden_dp194,-0.03662449492308138,0.33940173737419677,1189.41,3.95739,og
uniax_tension_ogden_dp195,-0.029084195758524826,0.0402309862423546,636.739,4.00914,og
uniax_tension_ogden_dp196,-0.04312737003864969,0.0,202.959,2.29817,og
uniax_tension_ogden_dp197,-1.2016564464292672,0.0,39.1129,2.32297,og
