sample_name,total_curvature,curvature_ratio,final_strain,final_stress,class
biax_tension_mooneyrivlin_dp80,0.4558626575965484,7.682795291517913e-05,32.6609,8.61841,mr
biax_tension_mooneyrivlin_dp81,0.15090484501937126,0.00010436781673424482,54.8317,8.40257,mr
biax_tension_mooneyrivlin_dp82,0.13500969372869767,6.337747439455303e-05,65.1475,8.86368,mr
biax_tension_mooneyrivlin_dp83,0.25735457466475986,0.0,42.2957,8.45559,mr
biax_tension_mooneyrivlin_dp84,0.05639231182057095,0.0,90.3739,8.40527,mr
biax_tension_mooneyrivlin_dp85,1.3794025510043815,0.0003130768264506767,17.1075,8.52791,mr
biax_tension_mooneyrivlin_dp86,1.0474326841917498,0.0011399894609140085,25.957,9.66037,mr
biax_tension_mooneyrivlin_dp87,0.08474833754256213,0.0,73.9403,8.42363,mr
biax_tension_mooneyrivlin_dp88,1.5515101988935203,0.0016999137239197873,19.5243,9.4521,mr
biax_tension_mooneyrivlin_dp89,0.056578814767354116,0.0,90.4944,8.41631,mr
biax_tension_mooneyrivlin_dp9,2.3295089299641414,0.002213893307065841,13.1605,8.87584,mr
biax_tension_mooneyrivlin_dp90,0.058291482976776395,0.0,93.2984,8.58976,mr
biax_tension_mooneyrivlin_dp91,0.44923787936543463,0.0,8.26214,1.90742,mr
biax_tension_mooneyrivlin_dp92,0.10805779129725444,0.0003550686697573002,67.5273,8.54802,mr
biax_tension_mooneyrivlin_dp93,0.42486965460519915,5.1547078209586024e-05,38.0491,9.109,mr
biax_tension_mooneyrivlin_dp94,1.0775102264220418,0.0002947893625045883,23.7294,9.31031,mr
biax_tension_mooneyrivlin_dp95,0.19784716902857208,0.000221728452066323,56.0984,9.06365,mr
biax_tension_mooneyrivlin_dp96,0.07137271852082999,0.00014299022389815515,77.8622,8.29699,mr
biax_tension_mooneyrivlin_dp97,0.18284486539798597,0.0,49.0487,8.35431,mr
biax_tension_mooneyrivlin_dp98,0.06474141038913676,0.0,89.1783,8.62156,mr
biax_tension_mooneyrivlin_dp99,0.36886530586889044,0.000191701931890231,40.3776,9.04179,mr
biax_tension_ogden_dp0,-0.25120343544865087,0.5949471378081774,57.1939,6.39099,og
biax_tension_ogden_dp1,-0.17590673100701879,0.4280099178677874,862.366,4.58628,og
biax_tension_ogden_dp10,-0.25476181465585745,0.0,75.6144,1.90521,og
biax_tension_ogden_dp100,-0.010242560685089079,0.0,3976.41,3.2897,og
biax_tension_ogden_dp101,-0.014637703838910355,0.0,197.913,2.38902,og
biax_tension_ogden_dp102,-0.008234873581895376,0.0,980.337,2.36859,og
