sample_name,total_curvature,curvature_ratio,final_strain,class
simple_shear_mooneyrivlin2_dp68,-0.005440298608566754,0.1648804365767194,97.149,mr
simple_shear_mooneyrivlin2_dp69,-0.00568692364454967,0.4983910874129446,70.7372,mr
simple_shear_mooneyrivlin2_dp7,-0.022303598151948965,0.35266473490278866,33.0441,mr
simple_shear_mooneyrivlin2_dp70,-0.016630095762732732,0.3193733832051567,49.451,mr
simple_shear_mooneyrivlin2_dp71,-0.0037365478467152225,0.10491066817390282,122.5,mr
simple_shear_mooneyrivlin2_dp72,-0.005209956342329189,0.2143064250391688,95.3918,mr
simple_shear_mooneyrivlin2_dp73,-0.0035498216388236263,0.15635476076960628,120.65,mr
simple_shear_mooneyrivlin2_dp74,-0.05881198821481918,0.07958238136226256,32.4744,mr
simple_shear_mooneyrivlin2_dp75,-0.01882151285176418,0.15806964019763442,53.1238,mr
simple_shear_mooneyrivlin2_dp76,-0.0034341223851701423,0.5424044150902125,86.217,mr
simple_shear_mooneyrivlin2_dp77,-0.006819191364740396,0.05239328635703843,94.6767,mr
simple_shear_mooneyrivlin2_dp78,-0.007921555910870128,0.10363494747584577,84.55,mr
simple_shear_mooneyrivlin2_dp79,-0.0052065895497174774,0.0745737018799301,106.254,mr
simple_shear_mooneyrivlin2_dp8,-0.02111024581499001,0.3365713459087136,34.4241,mr
simple_shear_mooneyrivlin2_dp80,-0.02231118152937123,0.17155173054380576,48.3466,mr
simple_shear_mooneyrivlin2_dp81,-0.012073220384939808,0.08381526870275985,69.8743,mr
simple_shear_mooneyrivlin2_dp82,-0.003572645168061298,0.2680458661297752,110.077,mr
simple_shear_mooneyrivlin2_dp83,-0.018209984712214033,0.10910987762082722,56.0816,mr
simple_shear_mooneyrivlin2_dp84,-0.004415271601155992,0.07842329186818546,115.044,mr
simple_shear_mooneyrivlin2_dp85,-0.09734145222952761,0.15408890941926445,23.9638,mr
simple_shear_mooneyrivlin2_dp86,-0.007212471533306421,0.538196841147333,60.2003,mr
simple_shear_mooneyrivlin2_dp87,-0.006347138921027141,0.08549170917617915,95.5184,mr
simple_shear_mooneyrivlin2_dp88,-0.01747387013636327,0.45976581385535814,42.477,mr
