sample_name,total_curvature,final_strain,class
planar_compression_ogden_dp115,-0.13379089098019373,-164.292,og
planar_compression_ogden_dp116,-0.10667783215132311,-32.3612,og
planar_compression_ogden_dp117,-0.11197098576720256,-65.4777,og
planar_compression_ogden_dp118,-0.19603339074792567,-54.5794,og
planar_compression_ogden_dp119,-0.37636056023467707,-77.3622,og
planar_compression_ogden_dp12,-0.07574562893916796,-83.7894,og
planar_compression_ogden_dp120,-4.028560809342425,-12.9407,og
planar_compression_ogden_dp121,-0.3433997086200537,-44.8844,og
planar_compression_ogden_dp122,-0.21854497028796074,-47.0375,og
planar_compression_ogden_dp123,-0.5008954329548104,-38.0396,og
planar_compression_ogden_dp124,-0.21765402793006458,-42.0408,og
planar_compression_ogden_dp125,-0.09772181992945211,-29.5618,og
planar_compression_ogden_dp126,-0.1448369371583127,-78.5226,og
planar_compression_ogden_dp127,-0.12708041477075244,-32.7057,og
planar_compression_ogden_dp128,-0.38104640664439926,-82.2852,og
planar_compression_ogden_dp129,-1.4052861346664687,-61.2937,og
planar_compression_ogden_dp13,-0.1882179818263372,-29.4773,og
planar_compression_ogden_dp130,-0.26088785690232763,-33.3418,og
planar_compression_ogden_dp131,-0.4526982072812493,-112.644,og
planar_compression_ogden_dp132,-1.7152364697424922,-37.1103,og
planar_compression_ogden_dp133,-1.0112723516986337,-26.7006,og
planar_compression_ogden_dp134,-0.05976032562198912,-61.8963,og
planar_compression_ogden_dp135,-0.6194156569994237,-19.3383,og
planar_compression_ogden_dp136,-5.485353624682199,-5.6129,og
planar_compression_ogden_dp137,-0.653668997410188,-63.4905,og
planar_compression_ogden_dp138,-0.08964131603762687,-83.9699,og
planar_compression_ogden_dp139,-2.9724786209071725,-72.813,og
planar_compression_ogden_dp14,-0.23305251016873466,-60.7908,og
planar_compression_ogden_dp140,-0.664648024430593,-30.9859,og
planar_compression_ogden_dp141,-0.12150772958964262,-62.9,og
planar_compression_ogden_dp142,-0.2501051203508666,-17.667,og
planar_compression_ogden_dp143,-0.18134643745336704,-52.9264,og
planar_compression_ogden_dp144,-4.381726549142523,-44.3445,og
planar_compression_ogden_dp145,-0.2860606847345296,-37.313,og
planar_compression_ogden_dp146,-0.5317251018598221,-12.3678,og
planar_compression_ogden_dp147,-1.3329589429668143,-12.0244,og
planar_compression_ogden_dp148,-0.5185706375407437,-44.8706,og
planar_compression_ogden_dp149,-0.24268979503684598,-20.9113,og
planar_compression_ogden_dp15,-0.4306694730605036,-22.3553,og
planar_compression_ogden_dp150,-1.5369558225186082,-80.6859,og
planar_compression_ogden_dp151,-0.23683481661727504,-22.5313,og
planar_compression_ogden_dp152,-4.244926738180025,-55.4426,og
planar_compression_ogden_dp153,-0.21178858923771135,-29.5374,og
planar_compression_ogden_dp154,-0.9556587358805516,-16.4381,og
planar_compression_ogden_dp155,-5.668080100609946,-17.3192,og
planar_compression_ogden_dp156,-0.19433107154686766,-26.2729,og
planar_compression_ogden_dp157,-2.302111064150698,-42.9382,og
planar_compression_ogden_dp158,-3.4530158929346406,-13.0299,og
planar_compression_ogden_dp159,-3.3917827372844522,-12.5125,og
planar_compression_ogden_dp16,-0.43128010898928776,-23.1397,og
planar_compression_ogden_dp160,-0.17984874317667132,-104.355,og
planar_compression_ogden_dp161,-0.20267409219216517,-27.8565,og
planar_compression_ogden_dp162,-7.610485712448357,-14.5714,og
planar_compression_ogden_dp163,-0.12527078264207858,-39.8001,og
planar_compression_ogden_dp164,-0.1349791445379742,-38.433,og
planar_compression_ogden_dp165,-4.672710949567814,-22.1279,og
planar_compression_ogden_dp166,-0.10144818676284731,-33.5233,og
planar_compression_ogden_dp167,-0.10401940202793085,-99.5327,og
planar_compression_ogden_dp168,-0.27017548435567484,-18.973,og
planar_compression_ogden_dp169,-0.4548072865182082,-19.7367,og
planar_compression_ogden_dp17,-0.09122675720725916,-173.323,og
planar_compression_ogden_dp170,-3.8506818807924197,-22.3909,og
planar_compression_ogden_dp171,-0.14407420293047055,-50.8,og
planar_compression_ogden_dp172,-1.244312076097724,-52.7594,og
planar_compression_ogden_dp173,-0.13529730575677165,-129.231,og
planar_compression_ogden_dp174,-0.06085355380066767,-126.422,og
planar_compression_ogden_dp175,-0.29565672176482216,-32.6299,og
planar_compression_ogden_dp176,-0.11574528524754926,-62.4993,og
planar_compression_ogden_dp177,-0.682268507968047,-30.2775,og
planar_compression_ogden_dp178,-0.14366786278133079,-72.3045,og
planar_compression_ogden_dp179,-0.1837795098779545,-92.0421,og
planar_compression_ogden_dp18,-0.2513605880229062,-23.6901,og
planar_compression_ogden_dp180,-0.07541166901726297,-45.8777,og
planar_compression_ogden_dp181,-0.2221324149328341,-51.3236,og
planar_compression_ogden_dp182,-1.5706782668966197,-16.6824,og
planar_compression_ogden_dp183,-4.312168617833442,-31.7757,og
planar_compression_ogden_dp184,-0.4086714122379021,-119.086,og
planar_compression_ogden_dp185,-0.3254123797660233,-24.8231,og
planar_compression_ogden_dp186,-0.38306107155827074,-52.0372,og
planar_compression_ogden_dp187,-122.83621730238147,-30.4974,og
planar_compression_ogden_dp188,-0.41688175510837766,-48.3612,og
planar_compression_ogden_dp189,-0.11639408248535674,-68.0467,og
planar_compression_ogden_dp19,-0.19183072388704692,-25.0458,og
planar_compression_ogden_dp190,-0.06234789531317588,-156.538,og
planar_compression_ogden_dp191,-0.27870029477127006,-125.821,og
planar_compression_ogden_dp192,-11.136245410774077,-14.4671,og
planar_compression_ogden_dp193,-249.15096279573086,-18.9614,og
planar_compression_ogden_dp194,-0.1464568037000378,-35.587,og
